1,삼성전자,"62,600","상승
				1,600",+2.62%,100,"3,705,693","5,919,638",49.68,"15,099,432",12.13,9.03,
2,SK하이닉스,"295,500","하락
				1,500",-0.51%,"5,000","2,151,247","728,002",55.47,"3,010,079",8.28,31.06,
3,삼성바이오로직스,"1,061,000","하락
				19,000",-1.76%,"2,500","755,156","71,174",13.05,"47,620",59.02,10.45,
4,LG에너지솔루션,"321,000","상승
				3,000",+0.94%,500,"751,140","234,000",4.17,"325,073",-64.54,-4.93,
5,KB금융,"117,200","상승
				400",+0.34%,"5,000","447,074","381,462",77.87,"628,393",8.13,8.86,
6,현대차,"208,000",보합0,0.00%,"5,000","425,896","204,758",36.19,"465,316",4.53,12.43,
7,삼성전자우,"52,000","상승
				1,200",+2.36%,100,"424,307","815,975",73.93,"1,052,021",10.07,N/A,
8,NAVER,"255,250","하락
				4,250",-1.64%,100,"404,410","158,437",45.28,"970,394",22.29,7.90,
9,기아,"100,800","상승
				700",+0.70%,"5,000","400,854","397,673",39.21,"840,846",4.30,19.09,
10,셀트리온,"178,500","하락
				100",-0.06%,"1,000","397,030","222,426",21.50,"279,148",82.60,2.46,
11,두산에너빌리티,"61,100","하락
				2,000",-3.17%,"5,000","391,383","640,561",23.92,"6,161,944",-384.28,1.52,
12,한화에어로스페이스,"806,000","하락
				47,000",-5.51%,"5,000","381,207","47,296",44.69,"184,316",16.30,53.94,
13,HD현대중공업,"389,500","하락
				11,000",-2.75%,"5,000","345,771","88,773",11.01,"146,650",39.42,11.39,
14,신한지주,"69,400","하락
				500",-0.72%,"5,000","344,114","495,842",58.80,"1,012,524",7.62,8.11,
15,삼성물산,"173,700","하락
				4,200",-2.36%,100,"295,249","169,977",27.17,"330,934",13.87,6.83,
16,현대모비스,"306,000","하락
				7,500",-2.39%,"5,000","280,893","91,795",43.23,"136,281",6.74,9.35,
17,카카오,"60,600","하락
				200",-0.33%,100,"267,860","442,014",27.82,"2,007,949",175.14,0.56,
18,하나금융지주,"93,100","상승
				900",+0.98%,"5,000","265,078","284,724",67.79,"767,926",7.03,9.11,
19,삼성생명,"132,100","하락
				900",-0.68%,500,"264,200","200,000",21.75,"119,193",12.46,6.18,
20,POSCO홀딩스,"323,500","상승
				9,000",+2.86%,"5,000","261,818","80,933",30.21,"527,086",31.45,2.00,
21,HMM,"25,400","상승
				700",+2.83%,"5,000","260,360","1,025,039",7.00,"2,647,466",5.01,15.35,
22,한화오션,"77,800","하락
				400",-0.51%,"5,000","238,390","306,413",12.11,"891,537",34.41,11.52,
23,한국전력,"37,100","하락
				150",-0.40%,"5,000","238,169","641,964",19.26,"2,064,787",4.53,9.22,
24,SK스퀘어,"174,900","하락
				8,700",-4.74%,100,"231,814","132,541",51.65,"592,577",4.72,21.70,
25,HD한국조선해양,"319,000","하락
				10,000",-3.04%,"5,000","225,766","70,773",32.81,"201,919",15.27,11.16,
26,삼성화재,"470,500","하락
				500",-0.11%,500,"216,482","46,011",55.95,"50,728",12.01,13.11,
27,메리츠금융지주,"118,300","상승
				1,700",+1.46%,500,"212,957","180,014",15.86,"188,666",9.68,23.44,
28,현대로템,"185,500","하락
				8,400",-4.33%,"5,000","202,459","109,142",31.23,"969,199",39.77,21.85,
29,LG화학,"273,500","하락
				500",-0.18%,"5,000","193,070","70,592",31.14,"245,720",-22.89,-2.11,
30,우리금융지주,"25,900","상승
				700",+2.78%,"5,000","192,331","742,592",46.70,"1,883,423",6.68,9.39,
31,SK이노베이션,"116,500","하락
				4,500",-3.72%,"5,000","175,956","151,035",13.79,"389,693",-5.76,-9.65,
32,고려아연,"854,000","상승
				5,000",+0.59%,"5,000","170,999","20,023",12.27,"8,579",71.76,2.28,
33,크래프톤,"354,500","상승
				1,500",+0.42%,100,"168,000","47,391",43.18,"82,116",12.80,21.10,
34,기업은행,"21,050","상승
				800",+3.95%,"5,000","167,858","797,426",14.16,"1,225,440",6.28,8.06,
35,KT&G,"136,800","상승
				1,200",+0.88%,"5,000","166,981","122,062",43.26,"189,489",15.40,12.66,
36,HD현대일렉트릭,"442,000","하락
				18,000",-3.91%,"5,000","159,328","36,047",34.89,"159,291",28.37,39.34,
37,SK,"219,000","하락
				11,000",-4.78%,200,"158,781","72,503",24.32,"271,991",17.83,-5.64,
38,삼성중공업,"17,470","하락
				410",-2.29%,"1,000","153,736","880,000",31.87,"3,454,083",105.24,1.77,
39,카카오뱅크,"31,650","하락
				350",-1.09%,"5,000","150,967","476,989",16.88,"4,055,780",32.36,6.95,
40,KT,"57,900","상승
				1,700",+3.02%,"5,000","145,921","252,022",49.00,"325,689",23.06,2.85,
41,삼성SDI,"179,400","상승
				9,100",+5.34%,"5,000","144,570","80,586",27.47,"969,038",122.79,3.13,
42,삼성에스디에스,"183,300","상승
				6,800",+3.85%,500,"141,834","77,378",18.74,"570,964",18.72,8.42,
43,LG,"82,800","하락
				1,200",-1.43%,"5,000","130,204","157,251",34.84,"144,837",16.39,2.16,
44,LIG넥스원,"575,000","하락
				16,000",-2.71%,"5,000","126,500","22,000",31.83,"136,045",51.56,19.59,
45,미래에셋증권,"22,100","하락
				50",-0.23%,"5,000","126,040","570,316",12.31,"2,198,507",16.20,7.94,
46,LG전자,"75,400",보합0,0.00%,"5,000","123,390","163,648",29.54,"250,218",19.71,1.81,
47,SK텔레콤,"55,550","상승
				250",+0.45%,100,"119,316","214,790",39.82,"541,017",9.46,10.83,
48,하이브,"270,500","하락
				4,000",-1.46%,500,"112,669","41,652",20.24,"265,155",215.37,0.31,
49,카카오페이,"82,500","하락
				4,200",-4.84%,500,"111,125","134,697",37.09,"1,594,140","-2,661.29",-0.73,
50,삼양식품,"1,465,000","하락
				33,000",-2.20%,"5,000","110,359","7,533",20.50,"40,725",36.23,39.37,
51,포스코퓨처엠,"138,400","상승
				8,900",+6.87%,500,"107,209","77,463",9.94,"863,519",-49.53,-7.98,
52,HD현대,"135,200","하락
				2,300",-1.67%,"1,000","106,799","78,993",23.31,"130,131",20.34,6.36,
53,현대글로비스,"141,100","하락
				1,300",-0.91%,500,"105,825","75,000",49.70,"93,703",8.91,13.24,
54,삼성전기,"137,400","상승
				300",+0.22%,"5,000","102,629","74,694",32.93,"247,500",16.93,8.16,
55,한화시스템,"54,300","하락
				1,900",-3.38%,"5,000","102,583","188,919",7.67,"686,704",23.29,19.63,
56,DB손해보험,"140,000","상승
				3,300",+2.41%,500,"99,120","70,800",45.63,"239,184",5.82,18.98,
57,두산,"560,000","하락
				43,000",-7.13%,"5,000","92,533","16,524",14.36,"234,578",-57.79,-14.57,
58,한미반도체,"95,900","하락
				1,600",-1.64%,100,"91,404","95,312",7.48,"532,219",67.44,27.43,
59,대한항공,"24,800","상승
				350",+1.43%,"5,000","91,319","368,221",16.61,"2,629,413",7.47,13.17,
60,효성중공업,"971,000","하락
				4,000",-0.41%,"5,000","90,541","9,325",22.74,"34,151",29.87,14.90,
61,포스코인터내셔널,"51,400","하락
				100",-0.19%,"5,000","90,424","175,923",6.26,"300,184",16.81,8.14,
62,유한양행,"111,900","하락
				200",-0.18%,"1,000","89,485","79,968",18.06,"297,349",136.30,3.41,
63,한국금융지주,"160,200","상승
				6,100",+3.96%,"5,000","89,273","55,726",37.01,"262,457",8.52,11.54,
64,TIGER 미국S&P500,"21,430","상승
				135",+0.63%,0,"85,924","400,950",0.15,"3,168,732",N/A,N/A,
65,KODEX CD금리액티브(합성),"1,074,335","상승
				80",+0.01%,0,"84,898","7,902",0.00,"157,445",N/A,N/A,
66,HD현대마린솔루션,"187,500","하락
				5,900",-3.05%,500,"84,055","44,829",29.80,"78,880",33.55,44.98,
67,한국항공우주,"85,600","하락
				1,100",-1.27%,"5,000","83,439","97,475",33.58,"449,771",50.41,10.42,
68,한진칼,"122,300","하락
				7,700",-5.92%,"2,500","81,650","66,762",20.80,"119,515",17.93,16.75,
69,현대건설,"72,200","하락
				400",-0.55%,"5,000","80,399","111,356",24.70,"794,494",-39.85,-2.09,
70,LS ELECTRIC,"265,500","하락
				12,500",-4.50%,"5,000","79,650","30,000",23.60,"163,234",34.60,13.44,
71,LG씨엔에스,"81,200","상승
				200",+0.25%,500,"78,671","96,886",3.69,"1,629,582",17.66,18.32,
72,아모레퍼시픽,"132,800","하락
				3,800",-2.78%,500,"77,678","58,493",23.58,"316,091",14.66,11.69,
73,SK바이오팜,"98,600","하락
				400",-0.40%,500,"77,217","78,313",11.19,"198,132",30.74,58.01,
74,코웨이,"103,200","상승
				3,400",+3.41%,500,"74,210","71,909",61.08,"151,866",13.16,19.38,
75,NH투자증권,"22,850","상승
				550",+2.47%,"5,000","74,054","324,086",15.93,"802,551",11.83,8.73,
76,S-Oil,"63,500","하락
				900",-1.40%,"2,500","71,490","112,583",73.92,"193,841",-18.34,-2.18,
77,HD현대미포,"178,100","하락
				7,500",-4.04%,"5,000","71,137","39,942",22.44,"370,869",46.60,5.25,
78,삼성증권,"77,600","하락
				200",-0.26%,"5,000","69,297","89,300",28.25,"356,235",7.75,12.89,
79,한화,"92,100","하락
				1,400",-1.50%,"5,000","69,037","74,959",15.65,"336,634",8.80,7.19,
80,KODEX 200,"43,145","상승
				145",+0.34%,0,"67,802","157,150",33.66,"7,717,553",N/A,N/A,
81,삼성카드,"56,900","상승
				900",+1.61%,"5,000","65,924","115,859",6.30,"71,575",9.82,8.00,
82,LG유플러스,"14,920","상승
				90",+0.61%,"5,000","65,142","436,611",37.81,"1,015,947",15.92,4.40,
83,KODEX 머니마켓액티브,"103,295","상승
				25",+0.02%,0,"64,399","62,345",0.00,"324,460",N/A,N/A,
84,에이피알,"168,400","상승
				7,600",+4.73%,100,"64,066","38,044",24.27,"604,289",47.91,41.34,
85,한화솔루션,"35,850","상승
				1,150",+3.31%,"5,000","61,623","171,893",13.38,"7,828,423",-6.32,-15.99,
86,키움증권,"238,000","하락
				2,000",-0.83%,"5,000","61,097","25,671",25.29,"147,193",8.16,15.98,
87,LS,"183,200","하락
				5,300",-2.81%,"5,000","58,990","32,200",14.33,"132,035",20.77,5.09,
88,현대차2우B,"161,400","하락
				200",-0.12%,"5,000","56,432","34,964",59.77,"74,493",3.52,N/A,
89,맥쿼리인프라,"11,510","하락
				70",-0.60%,0,"55,124","478,922",9.07,"787,759",N/A,N/A,
90,한국타이어앤테크놀로지,"44,300","하락
				200",-0.45%,500,"54,877","123,875",35.60,"373,149",5.09,10.79,
91,두산밥캣,"56,700","상승
				500",+0.89%,500,"54,350","95,856",33.93,"200,506",12.31,8.77,
92,넷마블,"61,900","하락
				100",-0.16%,100,"53,205","85,954",25.19,"190,594",52.32,0.49,
93,TIGER 미국나스닥100,"139,180","상승
				395",+0.28%,0,"52,457","37,690",0.05,"395,803",N/A,N/A,
94,LG생활건강,"330,500","상승
				1,500",+0.46%,"5,000","51,618","15,618",28.04,"28,924",32.39,3.44,
95,JB금융지주,"25,500","상승
				250",+0.99%,"5,000","49,447","193,908",34.34,"795,787",7.45,12.80,
96,BNK금융지주,"15,370","상승
				290",+1.92%,"5,000","48,936","318,384",39.45,"1,267,796",7.64,6.96,
97,삼성E&A,"24,750","상승
				50",+0.20%,"5,000","48,510","196,000",45.52,"594,375",6.51,19.65,
98,GS,"52,000","하락
				800",-1.52%,"5,000","48,316","92,915",16.50,"272,474",11.95,4.12,
99,TIGER CD금리투자KIS(합성),"56,285","상승
				5",+0.01%,0,"47,982","85,248",0.03,"633,464",N/A,N/A,
100,오리온,"120,700","하락
				700",-0.58%,500,"47,720","39,536",30.38,"75,087",8.92,16.57,
101,현대제철,"35,150","상승
				2,100",+6.35%,"5,000","46,906","133,446",18.08,"2,506,536",-47.69,-0.06,
102,KODEX 미국S&P500,"19,725","상승
				125",+0.64%,0,"46,847","237,500",0.10,"4,684,357",N/A,N/A,
103,CJ,"159,000","하락
				4,900",-2.99%,"5,000","46,391","29,177",11.13,"112,641",57.09,1.83,
104,LG디스플레이,"9,260","하락
				60",-0.64%,"5,000","46,300","500,000",20.99,"599,528",-2.27,-37.21,
105,현대오토에버,"168,200","하락
				100",-0.06%,500,"46,127","27,424",2.70,"39,522",27.96,10.40,
106,엔씨소프트,"212,500","상승
				6,000",+2.91%,500,"45,781","21,544",32.48,"64,645",62.35,2.99,
107,강원랜드,"20,350","상승
				50",+0.25%,500,"43,537","213,940",14.28,"335,149",9.93,12.09,
108,한국가스공사,"45,650","하락
				50",-0.11%,"5,000","42,141","92,313",9.94,"423,244",3.80,11.21,
109,이수페타시스,"55,700","하락
				1,900",-3.30%,"1,000","40,889","73,409",18.55,"1,205,528",38.98,24.92,
110,두산로보틱스,"62,100","하락
				1,000",-1.58%,500,"40,253","64,820",2.10,"148,753",-93.38,-8.69,
111,KODEX KOFR금리액티브(합성),"110,735","상승
				25",+0.02%,0,"39,620","35,779",0.00,"293,200",N/A,N/A,
112,SKC,"103,900","하락
				2,100",-1.98%,"5,000","39,345","37,868",13.38,"130,715",-7.54,-34.34,
113,CJ제일제당,"258,000",보합0,0.00%,"5,000","38,840","15,054",20.20,"26,855",57.19,1.97,
114,SK바이오사이언스,"48,500","상승
				150",+0.31%,500,"38,009","78,369",6.37,"64,638",-78.99,-3.07,
115,LG이노텍,"157,500","하락
				400",-0.25%,"5,000","37,276","23,667",23.47,"123,630",9.40,8.92,
116,현대차우,"158,100","상승
				100",+0.06%,"5,000","36,902","23,341",58.75,"112,428",3.45,N/A,
117,풍산,"131,100","하락
				2,400",-1.80%,"5,000","36,740","28,024",23.77,"261,669",15.26,11.33,
118,포스코DX,"24,150","상승
				150",+0.63%,500,"36,716","152,035",3.15,"390,106",43.75,17.92,
119,한미약품,"286,000",보합0,0.00%,"2,500","36,639","12,811",11.26,"32,793",33.64,11.89,
120,한화생명,"4,205","상승
				5",+0.12%,"5,000","36,522","868,530",10.69,"5,053,722",5.40,6.98,
121,에코프로머티,"51,100","상승
				1,950",+3.97%,500,"35,735","69,932",21.42,"1,025,411",-85.17,-5.56,
122,롯데지주,"33,900","하락
				1,300",-3.69%,200,"35,564","104,909",7.92,"618,517",-3.30,-15.56,
123,한전기술,"90,900","하락
				800",-0.87%,200,"34,742","38,220",11.77,"303,648",30.01,10.40,
124,KODEX 종합채권(AA-이상)액티브,"118,880","상승
				50",+0.04%,0,"34,571","29,081",0.00,"25,687",N/A,N/A,
125,현대엘리베이터,"87,200","상승
				300",+0.35%,"5,000","34,089","39,092",26.23,"243,116",16.31,14.42,
126,금호석유화학,"126,000","상승
				3,400",+2.77%,"5,000","33,339","26,460",18.56,"177,552",10.36,5.88,
127,TIGER 미국테크TOP10 INDXX,"24,830","상승
				150",+0.61%,0,"32,875","132,400",0.08,"2,830,576",N/A,N/A,
128,한미사이언스,"47,200","하락
				250",-0.53%,500,"32,281","68,392",1.86,"225,148",61.22,7.30,
129,KCC,"359,000","하락
				8,000",-2.18%,"5,000","31,902","8,886",9.65,"21,663",-27.14,6.08,
130,서울보증보험,"44,950","상승
				1,150",+2.63%,"2,500","31,385","69,822",1.25,"114,796",14.73,4.12,
131,동서,"31,000","상승
				200",+0.65%,500,"30,907","99,700",4.21,"63,372",20.81,9.52,
132,F&F,"79,800","하락
				1,300",-1.60%,100,"30,569","38,307",11.06,"39,520",8.79,25.27,
133,대한전선,"15,970","하락
				80",-0.50%,"1,000","29,776","186,447",7.09,"564,914",38.11,5.85,
134,롯데케미칼,"69,300","상승
				2,700",+4.05%,"5,000","29,643","42,775",21.73,"210,520",-1.63,-11.44,
135,TIGER 200,"43,120","상승
				115",+0.27%,0,"28,783","66,750",10.73,"3,036,268",N/A,N/A,
136,TIGER KOFR금리액티브(합성),"109,230","상승
				20",+0.02%,0,"28,314","25,921",0.00,"53,646",N/A,N/A,
137,KODEX 200TR,"15,370","상승
				45",+0.29%,0,"28,312","184,200",0.00,"750,453",N/A,N/A,
138,코스맥스,"247,500","하락
				15,500",-5.89%,500,"28,090","11,350",36.37,"119,942",37.61,20.53,
139,달바글로벌,"230,000","상승
				1,500",+0.66%,100,"27,833","12,101",7.86,"182,901",161.18,26.21,
140,산일전기,"91,150","하락
				1,650",-1.78%,500,"27,751","30,445",9.47,"202,038",28.36,29.88,
141,KODEX 미국나스닥100,"20,925","상승
				50",+0.24%,0,"27,684","132,300",0.24,"1,156,320",N/A,N/A,
142,한화비전,"54,700","하락
				100",-0.18%,500,"27,617","50,488",19.21,"705,791",86.14,N/A,
143,에스원,"71,300","하락
				100",-0.14%,500,"27,093","37,999",55.98,"22,828",15.21,10.85,
144,SK가스,"291,000","상승
				4,500",+1.57%,"5,000","26,904","9,245",7.32,"9,421",10.92,6.74,
145,이마트,"96,600","하락
				1,800",-1.83%,"5,000","26,658","27,596",25.00,"114,667",-4.93,-5.40,
146,신영증권,"160,900","하락
				1,700",-1.05%,"5,000","26,452","16,440",7.11,"95,402",24.35,6.45,
147,시프트업,"45,000","하락
				250",-0.55%,200,"26,452","58,782",37.61,"107,006",16.56,31.30,
148,영원무역,"59,500","하락
				300",-0.50%,500,"26,365","44,311",29.73,"34,409",6.12,12.32,
149,TIGER 미국필라델피아반도체나스닥,"20,560","상승
				200",+0.98%,0,"26,276","127,800",0.38,"1,312,882",N/A,N/A,
150,아모레퍼시픽홀딩스,"32,850","상승
				50",+0.15%,500,"26,102","79,458",10.30,"133,704",11.68,7.57,
151,현대해상,"28,350","상승
				250",+0.89%,500,"25,345","89,400",34.69,"536,551",3.72,15.75,
152,KODEX 레버리지,"24,745","상승
				150",+0.61%,0,"25,190","101,800",0.32,"29,877,384",N/A,N/A,
153,한국콜마,"105,600","하락
				3,600",-3.30%,500,"24,927","23,605",40.62,"192,914",25.70,12.50,
154,제일기획,"21,650","하락
				50",-0.23%,200,"24,906","115,041",23.70,"219,596",12.89,15.12,
155,iM금융지주,"14,900","하락
				100",-0.67%,"5,000","24,793","166,393",43.44,"944,923",9.77,3.60,
156,한전KPS,"54,800","하락
				900",-1.62%,200,"24,660","45,000",12.58,"142,651",17.60,13.26,
157,농심,"399,500",보합0,0.00%,"5,000","24,300","6,083",18.31,"12,508",15.56,6.17,
158,더존비즈온,"79,600","하락
				1,400",-1.73%,500,"24,185","30,383",9.29,"167,220",45.02,12.17,
159,RISE 머니마켓액티브,"54,417","상승
				7",+0.01%,0,"23,255","42,734",1.21,"253,553",N/A,N/A,
160,HD현대인프라코어,"11,920","하락
				160",-1.32%,"1,000","22,957","192,591",14.79,"779,410",28.86,5.92,
161,한국앤컴퍼니,"23,750","상승
				100",+0.42%,500,"22,547","94,935",10.31,"169,023",6.40,8.28,
162,KODEX CD1년금리플러스액티브(합성),"1,022,770","상승
				55",+0.01%,0,"22,417","2,192",0.00,"18,636",N/A,N/A,
163,ACE 미국30년국채액티브(H),"7,672","상승
				2",+0.03%,0,"22,402","292,000",0.01,"1,724,118",N/A,N/A,
164,한화엔진,"26,700","하락
				200",-0.74%,"1,000","22,280","83,447",12.97,"296,398",26.62,25.64,
165,롯데쇼핑,"78,200","하락
				600",-0.76%,"5,000","22,122","28,289",9.04,"50,988",-2.15,-7.75,
166,미스토홀딩스,"36,800","하락
				200",-0.54%,"1,000","22,115","60,096",38.69,"86,509",23.54,4.30,
167,한온시스템,"3,240","상승
				10",+0.31%,100,"21,992","678,763",5.04,"456,270",-4.70,-13.90,
168,코리안리,"11,160","하락
				180",-1.59%,500,"21,742","194,821",27.58,"197,389",6.15,9.45,
169,ACE 미국S&P500,"21,660","상승
				145",+0.67%,0,"21,703","100,200",0.07,"321,333",N/A,N/A,
170,TIGER 미국배당다우존스,"12,035","상승
				115",+0.96%,0,"21,543","179,000",0.02,"1,036,891",N/A,N/A,
171,팬오션,"4,025","상승
				75",+1.90%,"1,000","21,516","534,570",15.39,"3,783,214",7.70,5.17,
172,CJ대한통운,"94,300","상승
				1,500",+1.62%,"5,000","21,512","22,812",13.91,"86,707",9.15,6.58,
173,엘앤에프,"58,300","상승
				6,200",+11.90%,500,"21,172","36,316",16.47,"1,128,391",-5.61,-41.74,
174,BGF리테일,"120,300","하락
				3,500",-2.83%,"1,000","20,793","17,284",28.25,"69,017",11.23,17.29,
175,아시아나항공,"10,020","상승
				10",+0.10%,"5,000","20,640","205,991",2.86,"112,538",-9.11,-53.21,
176,KODEX 코스닥150레버리지,"8,545","상승
				135",+1.61%,0,"20,525","240,200",0.30,"26,968,543",N/A,N/A,
177,DB하이텍,"46,150","하락
				50",-0.11%,"5,000","20,490","44,399",26.57,"168,869",8.87,12.44,
178,씨에스윈드,"48,250","상승
				800",+1.69%,500,"20,348","42,171",12.89,"232,616",7.37,13.92,
179,SK아이이테크놀로지,"28,500","하락
				250",-0.87%,"1,000","20,320","71,298",6.73,"149,372",-9.88,-10.41,
180,한솔케미칼,"176,900","상승
				6,900",+4.06%,"5,000","20,052","11,335",33.55,"128,588",15.75,13.48,
181,동원산업,"49,700","하락
				300",-0.60%,"1,000","19,693","39,624",2.00,"25,109",27.77,2.74,
182,호텔신라,"49,800","상승
				50",+0.10%,"5,000","19,546","39,248",12.70,"193,934",-30.15,-6.50,
183,DL이앤씨,"49,550","상승
				300",+0.61%,"5,000","19,173","38,694",29.12,"246,012",9.11,4.77,
184,다우기술,"41,750","상승
				500",+1.21%,500,"18,732","44,867",24.56,"106,182",5.28,13.16,
185,대웅제약,"161,000","하락
				1,500",-0.92%,"2,500","18,654","11,587",8.88,"23,741",48.48,3.17,
186,영원무역홀딩스,"138,000","하락
				1,700",-1.22%,500,"18,629","13,499",20.74,"10,050",5.68,13.17,
187,일진전기,"38,050","하락
				850",-2.19%,"1,000","18,144","47,685",9.87,"329,224",32.14,10.60,
188,SNT다이내믹스,"54,300","하락
				1,200",-2.16%,"2,500","18,056","33,253",8.27,"61,052",17.87,12.90,
189,GS건설,"20,900","상승
				50",+0.24%,"5,000","17,887","85,581",23.16,"378,992",12.87,5.63,
190,신세계,"185,400","하락
				2,400",-1.28%,"5,000","17,882","9,645",11.97,"21,872",29.18,2.54,
191,현대백화점,"78,600","상승
				300",+0.38%,"5,000","17,786","22,629",22.94,"42,168",-49.97,-0.81,
192,OCI홀딩스,"93,100","상승
				9,100",+10.83%,"5,000","17,517","18,815",18.26,"668,064",-22.62,2.54,
193,TIGER 25-10 회사채(A+이상)액티브,"55,147","상승
				17",+0.03%,0,"17,284","31,342",0.20,"75,699",N/A,N/A,
194,파라다이스,"18,790","상승
				390",+2.12%,500,"17,142","91,230",7.46,"1,013,651",21.35,4.97,
195,대우건설,"4,090","하락
				65",-1.56%,"5,000","16,999","415,623",11.79,"1,118,618",8.43,5.62,
196,HL만도,"35,250","하락
				100",-0.28%,"1,000","16,552","46,957",25.86,"205,788",90.85,5.47,
197,오뚜기,"407,500","상승
				1,000",+0.25%,"5,000","16,332","4,008",11.93,"4,659",13.34,6.86,
198,HD현대마린엔진,"47,650","하락
				1,600",-3.25%,"2,500","16,164","33,921",12.41,"317,531",18.48,28.34,
199,ACE 미국나스닥100,"23,930","상승
				65",+0.27%,0,"16,129","67,400",0.02,"299,211",N/A,N/A,
200,대웅,"27,700","하락
				200",-0.72%,500,"16,105","58,142",5.58,"239,608",25.58,5.99,
